text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"The incident was reported by Cameron Ward. Harper Clark from the Finance department was involved. Crush injury to hand from hydraulic press grinder malfunction caused a fuel leak, injuring a contractor. On 24 July 2025 at 23:57, an incident occurred at Tool Crib."
"The incident was reported by Jamie Foster. Fractured wrist from fall on wet surface On 20 June 2025 at 02:10, an incident occurred at Training Room. Morgan Cooper from the Research & Development department was involved. Exposure to asbestos led to a fractured leg."
"Fractured ankle due to fall from scaffolding On 17 October 2024 at 14:11, an incident occurred at Shipyard Pier. Taylor Sullivan from the Dockyard Operations department was involved. Worker fell from scaffolding while painting, resulting in a fractured leg. The incident was reported by Jordan Pearson."
"Blake Allen from the Training & Development department was involved. The incident was reported by Taylor West. crane malfunction caused a fuel leak, injuring the operator. Crush injury to hand from hydraulic press On 04 February 2024 at 19:48, an incident occurred at Office - Admin Block."
"Worker fell from ladder while painting, resulting in concussion. On 26 December 2024 at 21:44, an incident occurred at Electrical Bay. Trip hazard fall resulting in bruising The incident was reported by Dakota Davis. Skyler Lee from the Fleet Management department was involved."
"Dakota Fisher from the Ship Maintenance department was involved. Fractured wrist from fall on wet surface On 09 February 2024 at 20:14, an incident occurred at Fleet Garage. The incident was reported by Charlie Graham. forklift malfunction caused electrical fire, injuring two workers."
"Exposure to toxic fumes led to a fractured leg. The incident was reported by Drew Allen. Heat exhaustion from prolonged outdoor work Quinn Foster from the Warehouse department was involved. On 01 November 2024 at 21:21, an incident occurred at Paint Shop."
"The incident was reported by Peyton Mitchell. Finley Hughes from the Training & Development department was involved. Exposure to high-voltage wiring led to concussion. Fractured ankle due to fall from scaffolding On 21 June 2025 at 11:24, an incident occurred at Paint Shop."
"On 08 November 2024 at 00:15, an incident occurred at Tool Crib. Exposure to asbestos led to a fractured leg. Drew Pearson from the Training & Development department was involved. Hearing damage from loud machinery The incident was reported by Kai Holmes."
"Logan Lee from the Research & Development department was involved. The incident was reported by Frankie Kennedy. Puncture wound from misplaced tool On 14 January 2024 at 05:20, an incident occurred at Shipyard Pier. Worker fell from ship deck while painting, resulting in concussion."
"Alex Sullivan from the Health & Safety department was involved. On 03 March 2024 at 09:22, an incident occurred at Tool Crib. The incident was reported by Blake Walker. grinder malfunction caused electrical fire, injuring a contractor. Puncture wound from misplaced tool"
"Worker fell from ladder while repairing the hull, resulting in concussion. Avery Bennett from the Procurement department was involved. On 16 September 2024 at 00:08, an incident occurred at Shipyard Pier. The incident was reported by Emerson Davis. Hearing damage from loud machinery"
"Worker fell from ladder while welding, resulting in a fractured leg. Concussion from falling object Cameron Reed from the Facilities department was involved. The incident was reported by Emerson Bailey. On 21 August 2025 at 01:44, an incident occurred at Paint Shop."
"The incident was reported by Riley Sullivan. On 12 April 2025 at 12:48, an incident occurred at Fleet Garage. Puncture wound from misplaced tool Chris Graham from the Environmental Services department was involved. Worker fell from ladder while painting, resulting in a fractured leg."
"Emerson Hughes from the Operations department was involved. On 10 October 2024 at 14:08, an incident occurred at Engineering Workshop. The incident was reported by Elliot Murphy. Hearing damage from loud machinery Exposure to asbestos led to concussion."
"Elliot Walker from the Facilities department was involved. On 31 December 2024 at 15:17, an incident occurred at Engineering Workshop. Worker fell from ship deck while welding, resulting in a fractured leg. The incident was reported by Charlie Smith. Fractured ankle due to fall from scaffolding"
"Worker fell from scaffolding while welding, resulting in concussion. Electric shock from faulty wiring On 04 January 2025 at 08:46, an incident occurred at Paint Shop. Riley Lewis from the Logistics department was involved. The incident was reported by Peyton Graham."
"Peyton Fisher from the HR department was involved. Worker fell from scaffolding while painting, resulting in concussion. Concussion from falling object On 10 June 2025 at 19:16, an incident occurred at Electrical Bay. The incident was reported by Spencer Payne."
"On 22 August 2025 at 14:18, an incident occurred at IT Server Room. Puncture wound from misplaced tool Exposure to toxic fumes led to concussion. The incident was reported by Finley Pearson. Casey Johnson from the Communications department was involved."
"On 23 March 2024 at 19:29, an incident occurred at Maintenance Shed. Finley Graham from the Logistics department was involved. The incident was reported by Jamie Allen. Exposure to toxic fumes led to burns. Back strain from improper lifting"
"Exposure to toxic fumes led to burns. Smoke inhalation from fire in electrical bay The incident was reported by Riley Bailey. Avery Brown from the IT department was involved. On 31 December 2024 at 23:31, an incident occurred at Warehouse B."
"crane malfunction caused electrical fire, injuring the operator. On 17 February 2024 at 16:27, an incident occurred at Dockyard North. Taylor Robinson from the Environmental Services department was involved. The incident was reported by Dakota Bennett. Minor cuts and bruises"
"On 23 January 2025 at 13:24, an incident occurred at Reception Area. forklift malfunction caused a fuel leak, injuring two workers. Reese Murphy from the Legal department was involved. Hearing damage from loud machinery The incident was reported by Harper Mitchell."
"Worker fell from ship deck while welding, resulting in burns. Crush injury to hand from hydraulic press The incident was reported by Harper Cooper. On 12 June 2024 at 13:54, an incident occurred at Engineering Workshop. Chris Pearson from the Health & Safety department was involved."
"On 20 May 2024 at 23:22, an incident occurred at Training Room. The incident was reported by Sawyer Allen. Severe abrasion from slip on deck Drew Smith from the Finance department was involved. Worker fell from ladder while painting, resulting in a fractured leg."
"On 11 June 2025 at 16:21, an incident occurred at Fuel Depot. Fractured ankle due to fall from scaffolding Worker fell from ladder while welding, resulting in concussion. Chris Clark from the Customer Service department was involved. The incident was reported by Peyton Reed."
"Severe abrasion from slip on deck Sydney Morgan from the Finance department was involved. The incident was reported by Casey Pearson. crane malfunction caused a steel beam to drop, injuring two workers. On 26 January 2025 at 23:07, an incident occurred at Tool Crib."
"Crush injury to hand from hydraulic press On 27 July 2024 at 09:33, an incident occurred at Dockyard North. The incident was reported by Jesse Robinson. Exposure to high-voltage wiring led to a fractured leg. Rowan Payne from the Fleet Management department was involved."
"On 11 June 2024 at 16:32, an incident occurred at Main Gate Security. Exposure to high-voltage wiring led to a fractured leg. The incident was reported by Frankie Clark. Hearing damage from loud machinery Rowan Cooper from the Fleet Management department was involved."
"Drew Cooper from the Environmental Services department was involved. Heat exhaustion from prolonged outdoor work forklift malfunction caused a steel beam to drop, injuring the operator. The incident was reported by Avery Murray. On 07 January 2025 at 09:52, an incident occurred at Fleet Garage."
"Burn from hot welding equipment Jamie Parker from the Facilities department was involved. On 03 February 2024 at 01:45, an incident occurred at Main Gate Security. Exposure to high-voltage wiring led to burns. The incident was reported by Cameron Sullivan."
